time,theta10,theta15,theta30,theta45,theta60,theta75,theta90
6.60,0.0,-14.0,-39.2,-35.5,-25.1,24.8,82.7
6.62,1.0,-12.9,-38.9,-34.8,-29.6,21.1,81.8
6.63,1.9,-12.0,-38.5,-33.9,-33.2,15.4,80.9
6.65,3.0,-10.5,-37.3,-32.8,-36.8,11.9,80.1
6.67,4.2,-9.4,-36.3,-31.0,-40.4,6.6,79.2
6.68,4.8,-8.2,-35.2,-29.5,-43.7,1.6,77.3
6.70,5.7,-6.7,-34.2,-27.9,-46.7,-1.8,75.9
6.72,6.7,-5.2,-32.6,-25.4,-49.4,-8.1,74.4
6.73,7.5,-4.4,-30.7,-23.4,-52.1,-13.7,70.9
6.75,8.4,-3.1,-29.0,-21.2,-54.4,-17.3,67.8
6.77,9.1,-1.6,-27.2,-19.3,-56.7,-23.2,65.9
6.78,9.8,-0.0,-24.6,-17.0,-58.2,-27.9,61.8
6.80,10.1,1.4,-22.3,-15.4,-59.7,-32.2,58.3
6.82,10.9,2.8,-19.2,-12.5,-60.8,-35.8,55.4
6.83,11.1,4.0,-17.7,-9.3,-61.5,-40.7,50.2
6.85,11.6,5.5,-14.4,-7.4,-62.3,-45.6,46.7
6.87,12.0,6.8,-11.8,-4.6,-62.2,-49.5,41.4
6.88,12.1,7.6,-9.2,-1.9,-62.4,-53.0,37.1
6.90,12.4,9.4,-6.7,0.8,-62.3,-55.9,32.1
6.92,12.6,10.3,-3.3,4.0,-61.6,-59.0,26.6
6.93,12.8,11.4,-0.3,6.7,-61.2,-61.6,20.6
6.95,12.4,12.2,2.0,9.0,-60.3,-64.1,15.8
6.97,,13.1,5.5,12.0,-59.1,-66.7,9.9
6.98,,14.1,8.3,14.8,-57.9,-68.9,4.2
7.00,,15.0,11.3,16.8,-56.0,-70.7,-2.5
7.02,,15.9,14.2,19.1,-53.7,-72.2,-7.7
7.03,,16.6,15.9,21.8,-51.1,-72.9,-13.1
7.05,,17.1,19.2,23.4,-48.8,-73.7,-17.6
7.07,,17.5,21.8,25.6,-46.2,-74.0,-24.1
7.08,,17.9,24.0,27.6,-43.6,-74.1,-29.8
7.10,,18.1,25.8,29.4,-39.7,-74.0,-34.4
7.12,,18.2,28.2,30.8,-35.7,-73.4,-39.7
7.13,,18.3,29.7,32.0,-32.6,-72.7,-44.6
7.15,,18.3,31.6,33.6,-29.9,-72.1,-49.4
7.17,,,33.3,34.7,-25.6,-70.8,-54.1
7.18,,,34.4,35.1,-21.9,-69.0,-58.1
7.20,,,35.6,35.9,-17.3,-66.9,-61.8
7.22,,,36.7,36.3,-13.0,-64.6,-65.5
7.23,,,37.8,36.5,-8.5,-62.7,-69.0
7.25,,,38.3,36.9,-3.9,-59.8,-71.8
7.27,,,38.4,,0.2,-55.6,-74.8
7.28,,,38.5,,4.8,-52.4,-77.0
7.30,,,38.6,,9.7,-48.5,-79.2
7.32,,,,,14.1,-45.1,-80.8
7.33,,,,,18.8,-41.5,-83.1
7.35,,,,,22.8,-36.8,-83.8
7.37,,,,,27.1,-33.3,-84.9
7.38,,,,,30.5,-27.0,-85.3
7.40,,,,,35.1,-23.5,-85.5
7.42,,,,,37.9,-18.6,-85.5
7.43,,,,,40.8,-12.6,-84.9
7.45,,,,,44.6,-7.6,-84.7
7.47,,,,,47.4,-2.0,-83.8
7.48,,,,,50.8,2.8,-82.4
7.50,,,,,53.2,7.4,-80.8
7.52,,,,,54.7,11.8,-79.0
7.53,,,,,56.8,17.6,-77.5
7.55,,,,,58.2,22.1,-74.9
7.57,,,,,59.9,25.8,-71.8
7.58,,,,,60.7,29.7,-69.1
7.60,,,,,61.7,34.3,-65.8
7.62,,,,,62.5,37.4,-61.6
7.63,,,,,62.6,40.7,-58.0
7.65,,,,,62.6,44.1,-54.9
7.67,,,,,,47.2,-48.9
7.68,,,,,,50.0,-44.4
7.70,,,,,,52.9,-39.2
7.72,,,,,,55.7,-33.8
7.73,,,,,,57.7,-29.3
7.75,,,,,,59.6,-23.2
7.77,,,,,,61.8,-16.4
7.78,,,,,,63.0,-10.0
7.80,,,,,,64.1,-6.9
7.82,,,,,,65.3,-0.4
7.83,,,,,,66.1,5.3
7.85,,,,,,66.1,13.6
7.87,,,,,,66.0,18.0
7.88,,,,,,,24.0
7.90,,,,,,,27.4
7.92,,,,,,,33.5
7.93,,,,,,,37.4
7.95,,,,,,,42.7
7.97,,,,,,,46.1
7.98,,,,,,,50.0
8.00,,,,,,,54.4
8.02,,,,,,,58.9
8.03,,,,,,,62.5
8.05,,,,,,,65.0
8.07,,,,,,,68.0
8.08,,,,,,,71.0
8.10,,,,,,,73.1
8.12,,,,,,,75.6
8.13,,,,,,,77.4
8.15,,,,,,,78.8
8.17,,,,,,,79.8
8.18,,,,,,,80.4
8.20,,,,,,,80.7
8.22,,,,,,,81.2
8.23,,,,,,,81.3
