"Wavelength (nm)","Intensity (arb. units)","TM Mode Intensity (arb. units)","TE Mode Intensity (arb. units)"
639.6397456938994,0.009002822919050857,0.004882887006942838,0.013534752422369678
639.6097941875913,0.009216449225604606,0.006958113984893544,0.011947814145113256
639.5798426812834,0.005340657663843729,0.011276417181658616,0.011459525444418972
639.5498911749754,0.0003814755474174092,0.0004882887006942838,0.0031280994888227553
639.5199396686673,0.0007934691386282111,0.0025635156786449897,0.008896009765773982
639.4899881623594,0.005325398641947032,0.007583733882658095,0.009674219882505497
639.4600366560514,0.0025482566567482934,0.004333562218661768,0.006424048218509171
639.4300851497435,0.006012054627298369,0.008285648889906128,0.011291676203555312
639.4001336434354,0.00970473792629889,0.010910200656137903,0.010482948043030405
639.3701821371275,0.008972304875257464,0.0043793392843518575,0.006073090714885154
639.3402306308195,0.005889982452124798,0.004867627985046141,0.00563057907988096
639.3102791245115,0.00903334096284425,0.006515602349889349,0.012542915999084414
639.2803276182035,0.010910200656137903,0.007507438773174613,0.015442130159456724
639.2503761118955,0.010894941634241206,0.003479056992446772,0.009887846189059246
639.2204246055875,0.007324330510414256,0.012314030670633969,0.016403448538948595
639.1904730992795,0.007995727473868897,0.006027313649195065,0.012924391546501823
639.1605215929716,0.015396353093766635,0.010421911955443619,0.012130922407873612
639.1305700866635,0.021652552071412146,0.014221408407721015,0.018432898451209212
639.1006185803556,0.,0.002365148393987937,0.
639.0706670740476,0.008453498130769788,0.,0.00886549172198059
639.0407155677397,0.010986495765621385,0.006027313649195065,0.016327153429465113
639.0107640614316,0.009353780422674873,0.005661097123674352,0.009735255970092282
638.9808125551236,0.017273212787060288,0.01193255512321656,0.012466620889600932
638.9508610488157,0.017608911268787608,0.008773937590600411,0.010894941634241206
638.9209095425076,0.010482948043030405,0.006759746700236491,0.013015945677882002
638.8909580361997,0.010833905546654421,0.009445334554055052,0.011520561532005757
638.8610065298917,0.007461661707484524,0.009613183794918712,0.009445334554055052
638.8310550235836,0.0070801861600671145,0.004974441138323016,0.010345616845960137
638.8011035172757,0.010757610437170939,0.010193026626993174,0.013626306553749856
638.7711520109677,0.012848096437018341,0.006897077897306758,0.010605020218203975
638.7412005046597,0.010589761196307279,0.006088349736781851,0.009430075532158355
638.7112489983517,0.01605249103532458,0.006652933546959616,0.01579308766308074
638.6812974920438,0.007003891050583633,0.0074921797512779165,0.013076981765468787
638.6513459857358,0.01087968261234451,0.007537956816968006,0.011520561532005757
638.6213944794277,0.005813687342641316,0.008285648889906128,0.015426871137560028
638.5914429731198,0.0038300144960707883,0.007415884641794435,0.008957045853360768
638.5614914668118,0.004776073853665963,0.009811551079575764,0.005035477225909801
638.5315399605038,0.014251926451514407,0.01361104753185316,0.012298771648737272
638.5015884541958,0.011841000991836381,0.015274280918593064,0.018265049210345552
638.4716369478879,0.006363012130922385,0.005645838101777656,0.0063019760433356
638.4416854415798,0.010345616845960137,0.003280689707789719,0.01159685664148924
638.4117339352719,0.0061646448462653325,0.004318303196765072,0.012512397955291021
638.3817824289639,0.0050049591821164086,0.006408789196612474,0.011856260013733078
638.3518309226558,0.009552147707331926,0.007614251926451487,0.01478599221789878
638.3218794163479,0.0054627298390173,0.007278553444724167,0.008346684977492913
638.2919279100399,0.005386434729533818,0.0036011291676203427,0.011398489356832187
638.261976403732,0.007415884641794435,0.005981536583504976,0.014465552758068156
638.2320248974239,0.012619211108567896,0.007461661707484524,0.010833905546654421
638.202073391116,0.009643701838712104,0.006546120393682742,0.010391393911650226
638.172121884808,0.013260090028229143,0.0067444876783397945,0.014709697108415298
638.1421703784999,0.004028381780727841,0.0016479743648432077,0.0064545662623025635
638.112218872192,0.0070344090943770254,0.005828946364538012,0.009353780422674873
638.082267365884,0.010635538261997368,0.009262226291294695,0.01188677805752647
638.052315859576,0.012909132524605127,0.006393530174715778,0.012863355458915038
638.022364353268,0.010818646524757725,0.007522697795071309,0.005310139620050336
637.9924128469601,0.013305867093919233,0.009613183794918712,0.01394674601358048
637.9624613406521,0.008072022583352378,0.002700846875715257,0.017792019531547965
637.932509834344,0.006286717021438903,0.0006561379415579438,0.007934691386282111
637.9025583280361,0.007721065079728362,0.0020141908903639205,0.010391393911650226
637.8726068217281,0.0168001831082627,0.012451361867704236,0.016403448538948595
637.8426553154201,0.006836041809719973,0.002197299153124277,0.004531929503318821
637.8127038091121,0.011108567940794956,0.005783169298847923,0.0126039520866712
637.7827523028042,0.014648661020828513,0.005325398641947032,0.017242694743266895
637.7528007964961,0.013885709925993694,0.009643701838712104,0.013763637750820124
637.7228492901882,0.010605020218203975,0.012329289692530665,0.014877546349278958
637.6928977838802,0.006485084306095956,0.0027924010070954353,0.009063859006637642
637.6629462775721,0.006073090714885154,0.008758678568703715,0.012985427634088609
637.6329947712642,0.006393530174715778,0.009384298466468266,0.007415884641794435
637.6030432649562,0.009964141298542728,0.010788128480964332,0.011490043488212365
637.5730917586483,0.007873655298695326,0.010223544670786566,0.01390096894789039
637.5431402523402,0.013809414816510213,0.011734187838559507,0.014145113298237533
637.5131887460323,0.014908064393072351,0.008285648889906128,0.01658655680170895
637.4832372397243,0.011139085984588348,0.006668192568856313,0.009079118028534339
637.4532857334162,0.012619211108567896,0.006057831692988458,0.009689478904402193
