t,x,y,vx,vy,v,
1.600,0.291,6.571E-2,-0.826,-0.479,0.955
1.617,0.273,5.505E-2,-1.065,-0.533,1.191
1.633,0.255,4.795E-2,-0.932,-0.320,0.985
1.650,0.242,4.440E-2,-1.065,-0.400,1.138
1.667,0.220,3.463E-2,-1.199,-0.426,1.272
1.683,0.202,3.019E-2,-1.092,-0.400,1.163
1.700,0.183,2.132E-2,-1.438,-0.426,1.500
1.717,0.154,1.599E-2,-1.571,-0.320,1.604
1.733,0.131,1.066E-2,-1.438,-0.346,1.479
1.750,0.106,4.447E-3,-1.358,-0.240,1.379
1.767,8.576E-2,2.671E-3,-1.332,-0.107,1.336
1.783,6.178E-2,8.954E-4,-1.758,-0.133,1.763
1.800,2.716E-2,-1.768E-3,-1.785,-5.327E-2,1.785
1.817,2.300E-3,-8.803E-4,-1.492,5.327E-2,1.493
1.833,-2.256E-2,7.559E-6,-1.385,5.327E-2,1.386
1.850,-4.387E-2,8.954E-4,-1.438,0.107,1.442
1.867,-7.050E-2,3.559E-3,-1.571,0.320,1.604
1.883,-9.625E-2,1.155E-2,-1.492,0.479,1.567
1.900,-0.120,1.954E-2,-1.438,0.400,1.493
1.917,-0.144,2.487E-2,-1.225,0.293,1.260
1.933,-0.161,2.931E-2,-1.092,0.453,1.182
1.950,-0.181,3.996E-2,-1.252,0.533,1.360
1.967,-0.203,4.706E-2,-1.039,0.373,1.104
1.983,-0.215,5.239E-2,-0.852,0.426,0.953
2.000,-0.231,6.127E-2,-0.852,0.453,0.965
2.017,-0.244,6.748E-2,-0.799,0.400,0.893
2.033,-0.258,7.459E-2,-0.772,0.453,0.895
2.050,-0.269,8.258E-2,-0.693,0.453,0.827
2.067,-0.281,8.968E-2,-0.613,0.373,0.717
2.083,-0.290,9.501E-2,-0.373,0.320,0.491
2.100,-0.293,0.100,-0.373,0.320,0.491
2.117,-0.302,0.106,-0.373,0.266,0.458
2.133,-0.306,0.109,-0.160,0.186,0.246
2.150,-0.308,0.112,-5.327E-2,7.991E-2,9.603E-2
2.167,-0.308,0.112,2.664E-2,-2.664E-2,3.767E-2
2.183,-0.307,0.111,2.663E-2,-5.325E-2,5.954E-2
2.200,-0.307,0.110,0.160,-0.107,0.192
2.217,-0.301,0.107,0.240,-0.160,0.288
2.233,-0.299,0.105,0.186,-0.213,0.283
2.250,-0.295,0.100,0.346,-0.320,0.471
2.267,-0.287,9.412E-2,0.533,-0.373,0.650
2.283,-0.277,8.790E-2,0.586,-0.373,0.695
2.300,-0.268,8.169E-2,0.639,-0.346,0.727
2.317,-0.256,7.636E-2,0.746,-0.426,0.859
2.333,-0.243,6.748E-2,0.826,-0.506,0.968
2.350,-0.229,5.949E-2,0.852,-0.533,1.005
2.367,-0.214,4.973E-2,1.065,-0.639,1.242
2.383,-0.193,3.818E-2,1.172,-0.346,1.222
2.400,-0.175,3.818E-2,1.172,-0.293,1.208
2.417,-0.154,2.842E-2,1.386,-0.560,1.495
2.433,-0.129,1.954E-2,1.465,-0.426,1.526
2.450,-0.105,1.421E-2,1.304,-0.213,1.322
2.467,-8.560E-2,1.244E-2,1.332,-0.266,1.358
2.483,-6.074E-2,5.335E-3,1.518,-0.266,1.541
2.500,-3.499E-2,3.559E-3,1.572,-0.160,1.580
2.517,-8.354E-3,7.559E-6,1.678,-0.186,1.688
2.533,2.094E-2,-2.656E-3,1.544,2.663E-2,1.545
2.550,4.314E-2,8.954E-4,1.278,7.991E-2,1.281
2.567,6.356E-2,7.559E-6,1.627,0.107,1.630
2.583,9.730E-2,4.447E-3,1.545,0.186,1.556
2.600,0.115,6.222E-3,1.224,0.239,1.247
2.617,0.138,1.244E-2,1.492,0.346,1.531
2.633,0.165,1.776E-2,1.332,0.373,1.383
2.650,0.183,2.487E-2,1.332,0.400,1.390
2.667,0.209,3.108E-2,1.412,0.426,1.475
2.683,0.230,3.907E-2,1.119,0.426,1.197
2.700,0.246,4.529E-2,0.932,0.426,1.025
