,mass A,,,
t,θ,ω,α,
2.617,12.5,163.3,317.5
2.633,15.4,147.9,-74.5
2.650,17.4,148.1,-130.8
2.667,20.3,157.2,-422.0
2.683,22.6,127.3,-1427.9
2.700,24.5,109.1,-326.7
2.717,26.3,115.0,-327.9
2.733,28.4,105.2,-492.3
2.750,29.8,90.1,-856.6
2.767,31.4,83.3,146.0
2.783,32.5,87.9,-275.0
2.800,34.3,84.0,-1090.0
2.817,35.3,45.4,-1618.7
2.833,35.8,28.2,-549.7
2.850,36.3,29.4,-96.1
2.867,36.8,26.0,-483.8
2.883,37.2,13.0,-939.3
2.900,37.2,-5.7,-948.7
2.917,37.0,-19.8,-784.3
2.933,36.6,-30.5,-622.9
2.950,35.9,-41.3,-257.1
2.967,35.2,-40.0,-341.9
2.983,34.6,-48.6,-569.4
3.000,33.6,-63.7,-925.4
3.017,32.5,-76.1,-726.2
3.033,31.0,-90.5,-468.4
3.050,29.5,-91.2,-713.2
3.067,28.0,-110.2,-677.3
3.083,25.8,-121.6,-414.0
3.100,23.9,-117.4,-167.4
3.117,21.9,-129.3,-771.9
3.133,19.6,-143.0,-804.6
3.150,17.1,-156.5,-16.0
3.167,14.4,-146.5,-179.3
3.183,12.2,-153.7,-379.6
3.200,9.3,-169.2,82.5
3.217,6.6,-147.4,258.4
3.233,4.4,-154.7,-713.0
3.250,1.4,-178.8,-902.6
3.267,-1.6,-182.5,563.8
3.283,-4.6,-162.7,740.1
3.300,-7.0,-150.6,191.5
3.317,-9.7,-161.3,-11.8
3.333,-12.4,-152.1,328.5
3.350,-14.7,-146.1,37.0
3.367,-17.3,-153.7,526.7
3.383,-19.9,-131.7,139.0
3.400,-21.6,-137.5,594.6
3.417,-24.4,-129.5,496.7
3.433,-26.0,-104.0,1210.3
3.450,-27.9,-100.5,187.2
3.467,-29.3,-90.5,241.7
3.483,-30.9,-96.5,314.6
3.500,-32.5,-81.2,458.3
3.517,-33.6,-75.6,552.3
3.533,-35.1,-69.9,636.9
3.550,-36.0,-49.4,1062.8
3.567,-36.7,-36.2,664.8
3.583,-37.2,-26.1,718.1
3.600,-37.6,-14.2,574.2
3.617,-37.6,-4.5,757.5
3.633,-37.7,7.9,852.6
3.650,-37.4,26.6,669.3
3.667,-36.8,30.6,639.8
3.683,-36.4,44.1,487.4
3.700,-35.4,52.7,332.6
3.717,-34.6,50.2,-32.4
3.733,-33.7,54.0,1182.5
3.750,-32.8,84.3,1083.5
3.767,-30.9,101.3,575.5
3.783,-29.4,94.0,145.1
3.800,-27.7,108.9,681.6
3.817,-25.8,117.7,1171.8
3.833,-23.8,143.6,829.9
3.850,-21.0,154.9,-710.4
3.867,-18.7,116.1,-528.3
3.883,-17.1,126.7,1253.8
3.900,-14.4,170.4,775.7
3.917,-11.5,153.4,-329.6
3.933,-9.3,148.2,122.2
3.950,-6.5,167.0,-90.3
3.967,-3.8,145.0,-311.0
3.983,-1.7,147.5,890.4
4.000,1.2,182.6,866.3
4.017,4.4,178.7,-1142.7
4.033,7.1,141.4,-642.0
4.050,9.1,149.2,937.4
4.067,12.1,183.4,-219.9
4.083,15.2,145.2,-277.7
4.100,16.9,155.0,-441.4
4.117,20.4,158.1,-650.1
4.133,22.2,110.4,-1776.6
4.150,24.1,106.5,-33.7
4.167,25.8,107.7,20.4
4.183,27.7,110.0,-70.4
4.200,29.4,103.7,-417.3
4.217,31.1,96.9,-740.7
4.233,32.7,79.9,-977.6
4.250,33.8,62.0,-687.8
4.267,34.7,57.2,-491.2
4.283,35.7,48.0,-669.6
4.300,36.3,32.7,-911.2
4.317,36.8,18.7,-723.9
4.333,36.9,7.4,-844.0
4.350,37.0,-7.3,-591.2
4.367,36.7,-15.8,-389.5
4.383,36.5,-17.0,-504.7
4.400,36.1,-32.8,-788.8
4.417,35.4,-45.6,-407.0
4.433,34.6,-45.5,-241.5
4.450,33.9,-51.8,-1303.5
4.467,32.9,-87.6,-1257.0
4.483,31.0,-102.3,-406.8
4.500,29.5,-92.9,132.4
4.517,27.9,-100.2,-571.9
4.533,26.1,-111.3,-1129.5
4.550,24.2,-136.9,-606.1
4.567,21.6,-138.3,-160.1
4.583,19.5,-133.3,-228.2
4.600,17.1,-150.7,-708.0
4.617,14.5,-156.9,210.0
4.633,11.9,-144.8,5.3
4.650,9.7,-150.1,-256.7
4.667,6.9,-161.3,-28.8
4.683,4.3,-147.6,-453.7
4.700,2.0,-171.2,-219.9
4.717,-1.4,-169.1,50.1
4.733,-3.7,-153.6,73.0
4.750,-6.5,-175.4,-468.7
4.767,-9.5,-169.8,753.6
4.783,-12.2,-148.1,1116.1
4.800,-14.5,-131.7,544.2
4.817,-16.6,-129.6,-489.1
4.833,-18.8,-147.6,-176.9
4.850,-21.5,-142.1,367.3
4.867,-23.5,-126.7,757.2
4.883,-25.7,-122.5,558.0
4.900,-27.6,-105.9,849.5
4.917,-29.2,-94.0,309.9
4.933,-30.7,-94.6,606.7
4.950,-32.4,-78.9,690.6
4.967,-33.4,-64.0,535.0
4.983,-34.5,-66.3,217.5
5.000,-35.6,-55.8,1028.4
5.017,-36.4,-32.9,919.5
5.033,-36.7,-20.9,468.1
5.050,-37.1,-21.3,296.5
5.067,-37.4,-10.4,951.6
5.083,-37.4,10.1,861.3
5.100,-37.0,21.3,460.8
